,Dates,News,original_sentiment,VADER_sentiment
4989,27-09-2018,"commodity outlook: gold shrugs off us rate hike, eyes rs 30,700",negative,0.0
4990,15-08-2006,"gold futures head lower, on track for four-session loss",negative,-0.5423
4991,15-08-2017,"gold prices are likely to jump to a 4-year high of $1,400 by 2017-end",positive,0.0
4992,14-10-2016,"Dec. gold settles at $1,255.50/oz, down $2.10, or 0.2%",negative,0.0
4993,25-03-2017,"Gold falls to Rs 29,330 on weak global cues, muted demand",negative,-0.5267
4994,12-11-2003,philadelphia gold & silver index gains 4.1%,positive,0.34
4995,01-03-2012,"gold, silver prices tumble on crash in global markets",negative,-0.4019
4996,02-08-2017,"December gold down 0.5% at $1,273/oz.",negative,0.0
4997,13-11-2018,a surprise jump in investor and central bank gold demand,negative,0.1531
4998,26-05-2006,"gold futures gain for the day, lose for the week",positive,0.1779
4999,10-10-2011,"can make money on gold at these levels also: kishore narne, anand rathi commodities",none,0.0
5000,13-06-2017,Gold prices hold modest loss after PPI report,negative,-0.3182
5001,12-12-2016,gold jewellery sales pick up slowly after falling 80%,positive,-0.1531
5002,22-09-2016,Gold climbs to 2-week high on cautious Fed outlook,positive,-0.1027
5003,30-11-2005,spot gold quoted at $492.30 in asia trade,positive,0.0
5004,01-10-2015,mcx gold december contract trades lower,negative,-0.296
5005,01-08-2012,how top performers are going for the gold,none,0.2023
5006,25-07-2014,gold remains higher after durable-goods data,positive,0.0
5007,27-07-2017,Gold prices log highest finish since the middle of June,positive,0.0
5008,12-10-2016,Gold futures waver in electronic trading after Fed minutes,none,0.0
5009,12-05-2014,floor 'looks to be softening' for gold: barclays,none,0.0
5010,23-05-2007,"gold futures climb, aims to recoup recent loss",positive,-0.3182
5011,11-03-2004,"gold up as copper, silver post gains",positive,0.34
5012,30-11-2007,gold futures open lower amid profit-taking,negative,-0.296
5013,07-05-2018,"june gold trades up 70 cents at $1,315.40/oz on comex",positive,0.0
5014,06-11-2017,Gold futures jump by the most in 6 weeks,positive,0.0
5015,08-05-2011,"Gold may test resistance, fall",negative,0.0
5016,25-11-2016,why gold hasn't yet hit bottom,none,0.0
5017,10-07-2017,Gold ends higher after a recent decline to a four-month low,negative,-0.2732
5018,28-10-2016,Gold extends early loss after first read of GDP,negative,-0.2023
5019,02-06-2006,"global meltdown steals thunder from gold, silver",none,-0.5106
5020,0200-03-17,"april gold up 60c at $337.20, off $343.50 high",positive,0.0
5021,06-08-2012,go long in gold with stop loss below rs 29800: nirmal bang,negative,-0.5423
5022,06-08-2017,gold / silver / copper futures - weekly outlook: august 7 - 11,none,0.0
5023,01-05-2017,"June gold off 0.2% at $1,265.20/oz. after data",negative,0.0
5024,21-02-2012,"gold ends 1.9% higher at $1,758.50 an ounce",positive,0.0
5025,27-04-2011,"gold futures settle at record $1,517.10 an ounce",negative,0.0
5026,18-04-2018,Akshaya Tritiya 2018: Portfolio allocation for gold should be 10-15% due to current global events,none,0.0
5027,30-11-2006,dec. gold up $8.70 to $644.20/oz in morning trading,positive,0.0
5028,0201-03-18,"buy into gold after recent drop, goldman says",negative,-0.2732
5029,18-05-2014,Gold jewellery exports up 14.69% in April,none,0.0
5030,21-01-2009,gold rallies by 395 per ten grams on higher global cues,positive,0.0
5031,14-08-2017,Gold prices mark first loss in four sessions,negative,-0.3182
5032,20-02-2014,"gold, silver futures trim losses after u.s. jobless claims, cpi data",negative,-0.4019
5033,20-10-2017,"Gold drops to 2-week low, suffers worst weekly decline in a month",negative,-0.8519
5034,28-02-2007,"april gold ends the month with a 2.2%, or $14.60/oz, gain",positive,0.5267
5035,20-05-2008,gold etf demand doubles in the first quarter,none,-0.128
5036,01-07-2016,gold jumps over 1% as market sentiment wanes,positive,0.0
5037,26-09-2017,Gold steady near 1-week high on North Korea worries,neutral,-0.4215
5038,08-05-2018,jinbi token goes for gold,none,0.0
5039,26-12-2013,gold rebounds in post-christmas trade,positive,0.0
5040,29-09-2017,"December gold up 0.2% at $1,290.70/oz.",positive,0.0
5041,15-03-2005,gold slips in wake of capital flows data,negative,0.0
5042,25-05-2017,Gold prices halt two-session skid as dollar stalls,neutral,0.0
5043,22-06-2018,"Gold edges up to Rs 31,585 on spot demand, global cues",positive,-0.128
5044,06-04-2014,Gold prices dip in Asia with markets in major buyer China closed,negative,0.0
5045,20-04-2017,Gold ends with small gain,positive,0.5267
5046,18-07-2017,"I'm betting a colleague that gold will fall to less than $1,000 an ounce this year",negative,0.0
5047,13-09-2016,gold steadies; aluminium at 3-month low,neutral,-0.2732
5048,15-06-2018,"gold clears 200-dma hurdle, surges to 1-month tops",positive,0.5574
5049,14-12-2016,"Feb. gold at $1,156.70/oz in electronic trading vs. $1,163.70 settlement",none,0.0
5050,30-08-2016,Gold ends at 2-month low as Fed comments fuel dollar's climb,negative,-0.2732
5051,20-02-2014,canada defeats u.s. for women's hockey gold medal,none,0.2023
5052,11-08-2006,gold futures down 1.8% for the week,negative,0.0
5053,20-08-2015,Gold prices up in Asia as China PMI flash survey shows dim picture,positive,0.0
5054,25-08-2005,"dec gold closes at $443.10/oz in ny, up 90c for the session",positive,0.0
5055,24-09-2009,"dec. gold rises 0.2% to $1,016.50 an ounce",positive,0.0
5056,11-08-2017,gold steady near 2-month highs as n. korea tensions lend support,neutral,0.0
5057,27-12-2012,Gold down in futures trade on global cues,negative,0.0
5058,14-12-2016,Gold futures settle higher ahead of Fed decision,positive,0.0
5059,19-09-2011,"dec. gold closes at $1,778.90, down $35.80",negative,0.0
5060,29-12-2014,"For now, avoid MCX gold",none,-0.296
5061,21-11-2012,stocks: all that glitters is gold (and silver),none,0.0
5062,08-12-2016,"Profit-booking pulls gold futures down to Rs 27,855",negative,0.0
5063,10-02-2011,gold futures gain 30 cents after mubarak speaks,positive,0.5267
5064,12-02-2015,india's gold demand slips 14% to 842.7 tonnes in 2014,none,-0.128
5065,05-01-2017,Gold settles at 5-week high amid doubts about Fed's pace of rate hikes,positive,-0.296
5066,15-04-2015,Gold prices rebound slightly in Asia with Greece debt impasse in focus,positive,-0.3612
5067,02-12-2016,"gold, silver cover lost ground, spurt on fresh demand",positive,-0.128
5068,19-10-2011,Support for MCX Gold Dec at Rs 26250: Kotak Commodity,none,0.4019
5069,11-07-2014,"gold futures hold steady, near 3-1/2 month highs",neutral,0.0
5070,19-06-2017,Gold ends lower as Fed seen adopting hawkish stance,negative,-0.296
5071,13-10-2017,"December gold up $5.80, or 0.4%, at $1,302.30 an ounce",positive,0.0
5072,27-06-2017,"Gold aims for fourth gain in five sessions as dollar drops, equities weaken",positive,0.1531
5073,06-09-2017,Gold rises on positive global cues,positive,0.5574
5074,08-12-2016,Gold futures settle lower on the back of a dollar rally,negative,-0.296
5075,25-07-2018,"gold prices may fall as trump, junker strike deal on auto tariffs",negative,-0.128
5076,26-02-2014,Gold's firmness may be flash in the pan,neutral,0.0
5077,20-11-2017,Gold ends sharply lower as German political turmoil lifts dollar,negative,-0.5719
5078,17-01-2012,Bridal season demand spurs hope for gold jewellers,none,0.34
5079,30-04-2012,gold buying retreats as prices hit 5-month high,positive,0.0
5080,15-11-2018,central banks add to gold reserves during third quarter of 2018,none,0.0
5081,15-10-2017,gold import surges to $17bn in april-september,none,0.0
5082,30-04-2013,"gold slips 1%, etf holdings hit lowest since sept 2009",negative,-0.3818
5083,05-04-2017,"Gold extends losses to $1,247.30 following Fed minutes",negative,-0.296
5084,31-01-2012,mcx goldpetal jan contract trades flat,none,0.0
5085,12-12-2017,Gold inches up from near 5-month low ahead of Fed meeting,positive,-0.2732
5086,07-01-2016,"gold tallies fifth straight session gain, ends at highest since nov. 3",positive,0.6486
5087,07-08-2017,Gold starts the week a touch lower; U.S. inflation data awaited,negative,-0.3182
5088,06-03-2013,the secret bull market in gold,none,0.0
5089,21-09-2004,"gold, energy boost bay street",positive,0.5859
5090,17-11-2017,Gold prices rally to their highest finish in more than a month,positive,0.0
5091,21-10-2016,"gold falls for first time in 4 days, silver melts too",negative,0.0
5092,20-07-2015,mcx gold october contract slips 2%,negative,0.0
5093,09-12-2016,"Feb. gold settles at $1,161.90/oz, down $10.50, or 0.9%",negative,0.0
5094,16-06-2014,"Gold gains on Iraqi violence, U.S. data cap gains",positive,-0.0772
5095,28-11-2017,"Gold falls to Rs 29,447 at futures trade",negative,0.0
5096,02-04-2012,"way2wealth`s view on gold, crude, nickel, zinc, soybean",none,-0.5719
5097,0201-09-26,gold beats s&p 500 to bear market level,positive,0.0
5098,30-08-2018,trump : what would impeaching trump mean for gold and silver?,none,0.0
5099,14-09-2016,Gold snaps a five-session slide as the dollar retreats,negative,0.0
5100,18-06-2010,"gold rises 0.8% to record $1,258.30 an ounce",positive,0.0
5101,09-10-2014,gold prices hold steady in asia as investors mull fed rate hike stance,neutral,0.0
5102,01-06-2018,"Gold adds more losses, slips below Rs 32k-mark",negative,-0.4576
5103,15-08-2012,"gold inches up, breaking losing streak",positive,-0.3818
5104,31-10-2014,"gold drops on u.s. data, boj move to expand stimulus",negative,0.3182
5105,29-07-2014,gold takes a dive on upbeat u.s. consumer confidence report,negative,0.5106
5106,31-07-2018,"december gold little changed at $1,231.50/oz.",neutral,0.0
5107,24-07-2015,gold futures tumble to fresh 5-year lows,negative,0.128
5108,05-12-2018,"Gold prices to find direction from non-farm payroll data, Fed meeting'",none,0.0
5109,13-12-2006,"gold futures end above $630 as traders eye dollar, oil gains",positive,0.34
5110,16-02-2017,Gold holds modest gains after string of data,positive,0.34
5111,05-10-2004,dec gold up $3.60 at $419.20/oz in ny,positive,0.0
5112,27-12-2017,lme : gold buying price to be set at usd2 lower than london metal exchange rate,negative,-0.296
5113,24-09-2015,"dec. gold up $22.30, or 2%, to settle at $1,153.80/oz on comex",positive,0.0
5114,17-01-2017,"gold trades higher on safe-haven demand; rs 28,650 key resistance",positive,-0.128
5115,29-07-2003,gold prices close more than $3 lower,negative,-0.3535
5116,23-08-2016,"Gold futures fall to Rs 31,288 per 10 gm",negative,0.0
5117,11-09-2009,"gold ends at record high of $1,004 as dollar weakens",positive,-0.3182
5118,23-02-2017,"Gold drifts lower in Asia as Fed, Muchin views weighed",negative,-0.296
5119,24-10-2016,Gold futures mark lowest settlement in nearly a week,negative,-0.3818
5120,08-09-2011,"gold futures rebound to top $1,850 as crude slips",positive,-0.4404
5121,12-08-2014,gold inches up on concerns ukraine conflict is dampening global recovery,positive,-0.3182
5122,15-04-2013,mcx gold june contract slips 2.7%,negative,0.0
5123,14-12-2013,"gold rises 1% on bargain hunting, posts weekly gain",positive,0.6369
5124,22-09-2011,"as gold vaults, secure storage space runs out",none,0.34
5125,02-12-2016,"Feb. gold settles at $1,177.80/oz, up $8.40, or 0.7%",positive,0.0
5126,10-10-2017,"Gold futures rise to Rs 29,778 on positive global cues",positive,0.5574
5127,24-09-2012,"oil, gold fall as dollar, bonds gain on growth worries; stocks near flat",negative,0.4939
5128,06-07-2017,"Rework gold monetisation scheme, says YV Reddy",none,0.0
5129,27-10-2006,dec. gold ends the week with a gain of 0.8%,positive,0.5267
5130,14-05-2014,Gold gains as Ukraine crisis continues to heat up,positive,-0.4019
5131,18-03-2011,"gold pares gain to $1,417 an ounce, up 0.9%",positive,0.5267
5132,0201-03-20,"april gold up $9.60, or 0.8%, at $1,178.60/oz on comex",positive,0.0
5133,26-11-2011,"gold recovers on low level buying, but silver declines",positive,-0.1406
5134,18-06-2012,et wealth: will gold shine in the gloom?,none,-0.1027
5135,09-11-2017,Gold prices to trade flat: Angel Commodities,neutral,0.0
5136,07-10-2015,Gold steady close to 2-week highs,neutral,0.0
5137,23-10-2015,gold futures settle at 2-week low,negative,-0.2732
5138,08-12-2017,"gold losses mount, silver dips below rs 38,000 per kg",negative,-0.4019
5139,10-03-2017,"gold falls below key level of &#36;1,200 ahead of us jobs data",negative,0.0
5140,22-08-2017,"with debt-based assets at record high, gold prices are set to shine",positive,0.1779
5141,17-06-2006,gold rallies as demand picks up at lower levels,positive,-0.4019
5142,19-02-2009,newmont swings to profit as gold gains,positive,0.6486
5143,26-07-2017,"Gold settles lower, but gets boost after Fed policy statement",negative,0.4497
5144,22-08-2013,gold futures slip,negative,0.0
5145,31-08-2012,gold rallies to 5-month high after bernanke speech,positive,0.0
5146,05-04-2013,"gold stays near 10-month low, us payroll data in focus",negative,-0.2732
5147,11-01-2017,"gold, silver trade flat with marginal gains ahead of trump news conference",neutral,0.2748
5148,24-07-2018,chinese gold market: still in the driving seat,none,0.0
5149,07-06-2017,Why the gold rally may signal further dollar weakness,positive,-0.4215
5150,11-05-2004,gold futures fall for fourth session,negative,0.0
5151,17-05-2018,goldcorp : we're right at peak gold,neutral,0.0
5152,06-12-2011,"gold, silver drops on stockists selling, global cues",negative,0.0
5153,24-09-2014,"gold drops $2.50 to settle at $1,219.50/oz",negative,0.0
5154,09-03-2017,Gold settles 0.5% lower for eighth day of losses,negative,-0.5994
5155,08-11-2017,gold edges higher as dollar slips,positive,0.0
5156,29-04-2016,gold poised for best week in eight on dollar slump,positive,0.7351
5157,25-04-2017,Gold futures mark lowest finish in more than 2 weeks,negative,-0.3818
5158,28-09-2017,"Dec. gold edges up by 90 cents, or less than 0.1%, to settle at $1,288.70/oz",positive,0.0
5159,31-08-2018,saxo bank : gold revival still depends on the dollar,none,0.0
5160,16-09-2013,mcx goldguinea october contract declines 2%,negative,0.0
5161,23-12-2011,"new year offers gold another shot at $2,000",positive,0.0
5162,23-08-2016,Gold futures trade slightly lower after earlier gains,negative,0.1263
5163,21-04-2015,gold demand to be higher in 2015: pr somasundaram,positive,-0.128
5164,05-06-2006,gold closes higher as iran spooks oil market,positive,0.0
5165,19-04-2016,"gold is 33% overpriced, by this measure",none,0.0
5166,24-03-2017,"Gold recovers to Rs 29,350 on spot demand",positive,-0.128
5167,12-07-2013,"gold futures down 0.2% on day, up 5.4% on week",negative,0.0
5168,12-05-2008,"gold futures fall, pressured by dollar gains",negative,0.128
5169,21-04-2017,Gold prices erase their loss for the week,negative,-0.3182
5170,24-02-2017,"Gold settles up $6.90, or 0.6%, at $1,258.30 an ounce for 1.6% weekly gain",positive,0.5267
5171,13-06-2016,gold futures log highest settlement since may 6,positive,0.0
5172,16-03-2017,Gold futures settle at a two-week high,positive,0.0
5173,14-08-2002,"gold falls as dollar, equities rebound",negative,0.0
5174,08-08-2018,sharps pixley: china forex reserves rise in july despite gold price fall,negative,0.0
5175,22-12-2005,gold pushes higher on news of barrick bid for placer dome,positive,0.0
5176,07-02-2018,china's love affair with gold heating up on property riches,none,0.8225
5177,19-09-2018,india working on mechanism to check gold imports without customs duty hike,none,0.0
5178,01-07-2014,Gold rallies to 14-week high on softer dollar,positive,0.0
5179,10-01-2006,spot gold quoted at $543.10 in asia trade,positive,0.0
5180,06-01-2017,Gold futures post gain of 1.8% for the week,positive,0.5267
5181,31-10-2016,gold steady as market focus turns to us fed meeting,neutral,0.0
5182,07-05-2012,gold futures dip below 29k level on global cues,negative,0.0
5183,05-11-2016,"Gold rises to Rs 31,150 per 10 gm on firm global cues, wedding season demand",positive,-0.128
5184,03-08-2018,Gold holds steady near 1-year low,negative,-0.2732
5185,14-11-2008,"gold futures close 5.3% higher on day, up 1.1% on week",positive,0.0
5186,13-06-2014,"Gold futures rise to Rs 26,448 per 10 gm",positive,0.0
5187,01-03-2017,Gold off lows but remains under pressure,negative,-0.4939
5188,08-05-2018,venezuela's once-promising gold industry is in utter shambles,none,0.0
5189,03-07-2017,"august gold drops $23.10, or 1.9%, to settle at $1,219.20/oz",negative,0.0
5190,03-08-2018,"gold may fall to $1,000 an ounce",negative,0.0
5191,16-12-2016,Gold futures up on global cues,positive,0.0
5192,20-12-2012,"gold losses accelerate, fall $28.50 to $1,639.50",negative,-0.4019
5193,27-04-2017,"June gold up 0.2% at $1,266.10/oz.",positive,0.0
5194,06-01-2006,philadelphia gold/silver index up 9.2% on week,positive,0.0
5195,12-10-2018,charts : gold shot higher to the 100 day moving average at 1228,positive,0.0
5196,05-04-2018,frank holmes : gold price to explode: reserves dwindle and us-china trade war talk spark panic,none,-0.743
5197,27-07-2016,"August gold gains 80 cents, or less than 0.1%, at $1,321.80/oz.",positive,0.34
5198,22-10-2018,"marex spectron : uncertainty 'rages', gold price strong",none,-0.296
5199,21-01-2018,gold prices inch up in asia as us shutdown weighs on dollar views,positive,0.0
5200,05-02-2012,"Gold, silver poised higher; base metals may correct slightly",positive,0.25
5201,12-11-2017,"gold gains in asia on harker comments, risk from possible challenge to theresa may",positive,0.1531
5202,06-06-2012,gold futures climb by more than $20 an ounce,positive,0.0
5203,13-12-2009,"jan. gold last at $1,123.50/oz on globex, up $3.60",positive,0.0
5204,07-12-2018,"february gold up 0.4% at $1,249/oz.",positive,0.0
5205,15-07-2003,august gold contract down as much as $6.50 an ounce,negative,0.0
5206,15-11-2018,swiss propose gold transparency to avoid human rights breaches,none,-0.296
5207,12-11-2004,gold taps fresh 16-year high in late morning trade,positive,0.3182
5208,18-10-2004,harmony to 'shortly post' gold fields offer terms,none,0.4019
5209,31-10-2017,Gold adds to loss after employment-cost report,negative,-0.3182
5210,24-02-2012,"gold, silver end lower but score weekly gain",positive,0.6124
5211,09-06-2013,Gold: Bearish trend intact,negative,0.2023
5212,09-03-2006,gold melts afresh as stockists book profits,none,0.4404
5213,17-10-2000,gold slips amid selling overseas,negative,0.0
5214,27-10-2016,"Dec. gold climbs $2.90, or 0.2%, to settle at $1,269.50/oz",positive,0.0
5215,17-04-2015,Gold futures edge higher on weaker dollar,positive,-0.4404
5216,06-03-2009,"gold spurt on revival of buying, firm overseas trend",positive,0.0
5217,12-12-2013,"gold falls on profit-selling, weak global cues",negative,-0.4404
5218,12-01-2017,"Feb. gold gains $3.20, or 0.3%, to settle at $1,199.80/oz",positive,0.34
5219,14-05-2003,gold climbs to fresh two-month high,positive,0.3182
5220,10-06-2002,"kinross gold buying echo bay, tvx",none,0.0
5221,10-11-2017,india's gold demand falls 25% in q3,negative,-0.128
5222,03-02-2015,gold retreats as greece blinks,negative,0.0
5223,11-08-2011,Gold futures extend gains on global cues,positive,0.4767
5224,09-02-2018,"jay powell : gold gains under powell fed: how much, not if",positive,0.34
5225,21-08-2018,the gold rush is over,none,0.0
5226,03-08-2017,Gold holds loss after jobless-claims report,negative,-0.3182
5227,30-08-2016,"Gold futures may climb toward $1,400 by end of year: analyst",positive,0.0
5228,12-10-2011,MCX GOLDPETAL Oct contract gains,positive,0.34
5229,26-08-2009,sino gold endorses $1.9 billion takeover by eldorado gold,none,0.34
5230,28-11-2018,why yamana gold is down 30.8% so far in 2018,none,0.0
5231,24-08-2018,"gold prices settle higher, mark first weekly gain in 7 weeks",positive,0.5267
5232,02-08-2016,"Gold extends gains after personal-spending, inflation reports",positive,0.4404
5233,08-09-2017,gold gains in asia on korea tensions ahead of national founding day,positive,-0.0772
5234,02-02-2001,"gold shares, futures prices decline",negative,0.296
5235,21-11-2017,"jon butler : the golden revolution, revisited: how to prepare for the remonetisation of gold",none,0.0
5236,03-12-2004,gold ends at 16-year high near $458,positive,0.0
5237,22-11-2016,gold business down 75% despite fall in prices,negative,0.0
5238,29-08-2008,gold closes down 0.2% at $835.20 an ounce; up 0.2% in week,negative,0.0
5239,15-09-2014,Gold prices to remain under pressure next year too,none,-0.296
5240,29-09-2010,gold futures tally modest gains after new record,positive,0.34
5241,10-12-2012,"feb. gold up $8.90 to settle at $1,714.40/oz",positive,0.0
5242,02-08-2018,global gold demand in h1 lowest since 2009: wgc,negative,-0.4767
5243,30-03-2016,"dovish yellen, softer dollar support gold near &#36;1,240",none,0.4019
5244,0200-04-27,gold futures trade near session's high,positive,0.0
5245,10-01-2017,"gold tops rs 29,000-mark, hits over-mth high on global cues",positive,0.5106
5246,22-10-2018,Gold inches higher as Asian stocks slip,positive,0.0
5247,02-12-2011,"falling rupee hits gold, silver imports",none,-0.1531
5248,03-06-2015,gold prices gain as greece debt talks head towards over-time,positive,0.2263
5249,24-03-2005,"guilford pharma, harmony gold, more",none,0.4019
5250,27-07-2017,"Gold adds to sharp early gain after reports on jobless-claims, durable-goods, trade",positive,0.5267
5251,09-11-2016,VanEck Vectors Gold Miners ETF runs up 5.4% in premarket trade,none,0.0
5252,0201-03-21,"April gold up $5.50, or 0.5%, to $1,239.50/oz after high above $1,241",positive,0.0
5253,14-10-2011,gold futures gain 0.24 pc on global cues,positive,0.5267
5254,31-05-2017,Gold prices score a monthly gain of roughly 0.6%,positive,0.5267
5255,01-08-2014,gold rebounds friday but posts third weekly loss,positive,-0.4497
5256,31-05-2018,this is when gold will soar,none,0.0
5257,04-03-2016,gold logs 13-month closing high as jobs report fails to deflate metal's rally,positive,-0.4215
5258,08-06-2018,jinbi token creates safe haven for gold assets,none,0.6908
5259,03-08-2016,Gold holds modest decline after ADP report shows U.S. added 179k jobs,negative,0.0
5260,07-03-2018,Gold Prices Hold Steady Near 1-1/2 Week Highs,positive,0.0
5261,30-11-2007,feb. gold ends down $13.20 at $789.10 an ounce on nymex,negative,0.0
5262,25-08-2011,gold sees biggest single-day slump; falls by rs 1840/10 gm,negative,0.0
5263,16-09-2016,Gold little changed with eyes on U.S. data,neutral,0.0
5264,15-03-2017,"April gold off $4, or 0.3%, at $1,198.60/oz.",negative,0.0
5265,27-04-2017,"June gold edges up by $1.70, or 0.1%, to settle at $1,265.90/oz",positive,0.0
5266,24-10-2017,"Give gold stocks a rest, and stick with breakout steel - here's why, says MKM",none,0.0
5267,20-05-2015,"Gold inches up ahead of Fed minutes, as Greece continues to weigh",positive,0.0
5268,24-03-2017,Gold futures tally a weekly gain of roughly 1.5%,positive,0.5267
5269,28-01-2019,"Wedding buzz keeps gold firm at Rs 33,650",neutral,0.0
5270,18-10-2017,"diwali 2017: should you invest in stocks, gold or fixed income?",none,0.0
5271,10-11-2005,gold futures head higher for a fourth session,positive,0.0
5272,0200-04-29,june gold down $20.70 to $874.80 an ounce on nymex,negative,0.0
5273,29-11-2018,scotia mocatta : gold & silver marketwatch,none,0.0
5274,11-08-2017,Gold pares gain slightly after inflation report,positive,0.5267
5275,05-11-2018,charts : gold price topping again soon-stocks in rally mode,none,0.0
5276,10-12-2008,february gold ends up $34.60 at $808.80 an ounce on nymex,positive,0.0
5277,18-09-2014,gold settles at 8-month low close on fed's dovish stance,negative,-0.2732
5278,31-07-2018,"kazakhstan : incredible haul of gold from 2,800 years ago unearthed in kazakhstan ",none,0.0
5279,28-11-2011,MCX GOLDPETAL Jan contract trading higher,positive,0.0
5280,17-03-2016,gold futures climb rs 420 on global cues,positive,0.0
5281,23-06-2008,"august gold ends at $887.20/oz, down $16.50, or 1.8%, in ny",negative,0.0
5282,02-05-2018,gold coins : gold eagle sales still faltering while mining output collapses - perfect storm,none,0.3612
5283,15-12-2003,gold futures off $1.80 to $407.60,negative,0.0
5284,02-11-2006,"gold futures end higher, tally two-session gain of $21",positive,0.5267
5285,25-01-2016,banks to get 2.5% commission under gold monetisation scheme,none,0.0
5286,25-04-2013,"gold edges down, falling etfs sap interest",negative,0.34
5287,27-11-2017,gold prices recoup most of last week's losses,positive,-0.4019
5288,18-11-2011,gold ends modestly up after two-session losses,positive,-0.4019
5289,13-09-2017,"Dec. gold falls $4.70, or 0.4%, to settle at $1,328/oz",negative,0.0
5290,15-09-2016,"Dec. gold settles at $1,318/oz, down $8.10, or 0.6%",negative,0.0
5291,19-12-2011,"gold futures turn up, but trades below $1,600",positive,0.0
5292,16-08-2006,gold prices edge up after four-session decline,positive,0.0
5293,23-08-2012,"gold, oil rise sharply after china data",positive,0.0
5294,22-03-2018,Gold hovers near two-week high on weaker dollar after Fed rate view,positive,-0.4404
5295,05-08-2015,"Gold futures down at Rs 24,605 per 10 gm",negative,0.0
5296,06-02-2015,"gold futures down 2.2% on day, loses 3.5% on week",negative,-0.3182
5297,11-10-2011,Crude gains more than 3%; gold rises 2%,positive,-0.3182
5298,28-01-2010,gold prices drop further on heavy stockists offloading,negative,-0.2732
5299,06-12-2017,inflation : could gold be a good inflation hedge?,none,0.4404
5300,12-01-2018,gold set to rise for fifth week as slumping dollar draws investors,positive,0.0
5301,29-07-2008,gold ends at one-month low as dollar strengthens,negative,0.2263
5302,07-03-2012,gold market sentiment finally improving,none,0.4215
5303,09-05-2012,gold traders pick bargains in thin trade,none,0.0
5304,20-12-2018,"gold steadies, fed signals 'some' rate hikes for 2019",neutral,0.0
5305,23-01-2008,kinross gold launches $400m convertible notes offering,positive,0.0
5306,31-01-2017,"April gold climbs $20.20, or 1.7%, to $1,216.20/oz after $1,217.40 high",positive,0.0
5307,07-06-2018,"Sell gold if it rallies to $1,305/ ounce ",none,0.0
5308,03-01-2017,"Feb. gold gains $10.30, or 0.9%, to settle at $1,162/oz",positive,0.34
5309,05-10-2017,"Gold tumbles to Rs 30,375; silver drops by Rs 450 per kg",negative,0.0
5310,22-08-2016,"Dec. gold settles at $1,343.40/oz, down $2.80, or 0.2%",negative,0.0
5311,18-03-2013,gold rises as cyprus deposit tax spooks markets,positive,0.0
5312,08-04-2004,gold prices down for session and holiday-shortened week,negative,0.0
5313,22-08-2017,Gold falls back to lowest level in nearly a week,negative,-0.3818
5314,30-07-2014,"Gold futures down at Rs 27,835 on weak global cues",negative,-0.4404
5315,07-06-2011,gold hits one-month high on weak us outlook,positive,-0.4404
5316,17-11-2011,MCX GOLDGUINEA Nov contract slips,negative,0.0
5317,21-11-2018,gold adds to slight gain after pre-thanksgiving economic reports,positive,0.4779
5318,24-10-2011,Golden opportunity: Demand for gold ETFs and funds soars,none,0.3182
5319,09-09-2016,Gold slips lower but downside seen limited,negative,-0.6652
5320,10-10-2011,gold buyers return to shop ahead of diwali as prices drop,none,-0.2732
5321,16-06-2017,Gold prices tick slightly higher after housing-starts report,positive,0.0
5322,01-08-2016,Silver futures closes at 2-year high; gold ends up,positive,0.0
5323,27-02-2018,china : gold & precious metals report,none,0.5719
5324,16-11-2010,"cme raises gold, other metals trading requirements",none,0.0
5325,18-11-2015,"gold prices gain in asia on technical rebound, boj ahead",positive,0.5267
5326,24-08-2015,"dec. gold settles at $1,153.60/oz on comex, down $6, or 0.5%",negative,0.0
5327,30-06-2016,gold declines but brexit political uncertainty limits losses,negative,-0.7684
5328,08-12-2004,"feb gold down $17.50, or 3.9%, at $436.20/oz",negative,0.0
5329,12-10-2016,"Gold futures end lower, but climb in electronic trade after Fed minutes",positive,-0.1531
5330,04-07-2018,india : how is inherited gold taxed in india?,none,0.0
5331,02-04-2013,"june gold down $19.20, or 1.2%, at $1,581.70/oz",negative,0.0
5332,03-08-2017,"gold, silver slip on weak global demand",negative,-0.5267
5333,13-11-2012,"dec. gold down $6.10 to settle at $1,724.80/oz",negative,0.0
5334,21-04-2011,"gold settles at record above $1,500",positive,0.0
5335,13-08-2013,"Import duty hike: 'Gold smuggling, black-marketing will balloon'",none,-0.4767
5336,14-01-2011,gold futures slump as european debt worries ease,negative,-0.4215
5337,01-11-2011,"crude, gold retreat as greek debt worries return",negative,-0.802
5338,04-11-2014,"Gold dips on weak physical demand, dollar sell off supports",negative,-0.2263
5339,28-01-2009,bundesbank denies selling gold,none,-0.4215
5340,05-10-2015,Gold retains sharp gains after sluggish US jobs data,positive,-0.0772
5341,21-02-2006,gold gets safe-haven boost,positive,0.4019
5342,25-07-2017,Gold suffers a second session of losses as investors await Fed update,negative,-0.6597
5343,18-10-2008,gold plunges further by rs 210,negative,0.0
5344,31-01-2017,"April gold climbs $15.40, or 1.3%, to settle at $1,211.40/oz",positive,0.0
5345,10-10-2005,"gold hits fresh 18-year high on inflation, demand concerns",positive,0.2023
5346,19-09-2017,Gold slips for third straight session as traders await Fed outcome,negative,0.3182
5347,10-06-2014,Gold prices dip in Asia with fresh direction sought,negative,0.3182
